serial_no,event_id,event_name,event_type,event_theme,event_description,start_datetime,end_datetime,timezone,delivery_mode,location_venue,location_city,location_state,location_country,organizer_unit,organizer_contact_email,capacity,rsvp_required,registrations_count,attendees_count,feedback_score_avg
11,a58123f0-b634-4880-92cc-5e7637ddb1b5,Networking Night 0011 • Tech for Good,Networking Night,Tech for Good,Join us for a networking night on Tech for Good.,11/15/2025 18:00,11/15/2025 21:00,America/New_York,In-person,Virtual Stage,Online,NA,USA,Data Science Institute,dsi@slu.edu,330,0,99,88,4.83
12,ef5c8280-b6bb-413e-af8c-941a9d101507,Networking Night 0012 • Cybersecurity Trends,Networking Night,Cybersecurity Trends,Join us for a networking night on Cybersecurity Trends.,11/19/2023 10:00,11/19/2023 18:00,America/New_York,In-person,Data Science Hub,Seattle,WA,USA,Career Services,careerservices@slu.edu,366,1,171,150,4.18
13,307b01d9-1445-4767-acdf-276bff11a14d,Guest Lecture 0013 • Graduate School Pathways,Guest Lecture,Graduate School Pathways,Join us for a guest lecture on Graduate School Pathways.,09/23/2022 18:00,09/23/2022 19:00,America/Los_Angeles,Hybrid,Data Science Hub,Seattle,WA,USA,Career Services,careerservices@slu.edu,252,1,203,126,3.96
14,5abe7586-bf03-4476-bb60-2013785efd00,Networking Night 0014 • Product & Project Management,Networking Night,Product & Project Management,Join us for a networking night on Product & Project Management.,04/05/2026 18:00,04/06/2026 02:00,America/New_York,Virtual,Virtual Stage,Online,NA,USA,Cybersecurity Center,cybercenter@slu.edu,259,1,220,215,4.11
15,68608e56-8c1b-41cb-8c55-ab992edc69f6,Webinar 0015 • Product & Project Management,Webinar,Product & Project Management,Join us for a webinar on Product & Project Management.,12/27/2024 14:00,12/27/2024 15:00,America/Chicago,In-person,Busch Student Center,St. Louis,MO,USA,Chaifetz School of Business,chaifetz-events@slu.edu,273,1,102,91,3.54
16,b5da2e35-fdeb-447d-bb11-617ab206fe61,Networking Night 0016 • AI & Data Analytics Careers,Networking Night,AI & Data Analytics Careers,Join us for a networking night on AI & Data Analytics Careers.,08/14/2024 14:00,08/14/2024 15:00,America/Chicago,Virtual,Virtual Stage,Online,NA,USA,Data Science Institute,dsi@slu.edu,94,0,63,42,3.83
17,087a1a86-0bc6-436e-a2b5-e5a88051a0b3,Panel 0017 • Cybersecurity Trends,Panel,Cybersecurity Trends,Join us for a panel on Cybersecurity Trends.,03/14/2020 10:00,03/14/2020 13:00,America/Los_Angeles,Virtual,Career Services Hall,Chicago,IL,USA,School of Science & Engineering,sse-events@slu.edu,76,1,49,39,3.95
18,e7ff22f8-3589-4cbd-b62c-34ef79a21618,Meetup 0018 • Product & Project Management,Meetup,Product & Project Management,Join us for a meetup on Product & Project Management.,05/15/2026 10:00,05/15/2026 12:00,America/Chicago,Hybrid,Busch Student Center,St. Louis,MO,USA,Career Services,careerservices@slu.edu,63,0,29,28,4.38
19,57b9079c-b083-4e20-a5bb-36d14f0e98b8,Panel 0019 • Tech for Good,Panel,Tech for Good,Join us for a panel on Tech for Good.,09/06/2025 14:00,09/06/2025 17:00,America/Chicago,In-person,Global Webinar Room,Online,NA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,162,1,117,95,4.48
20,2b47a2dc-d1ce-401b-a479-402065df6b5a,Guest Lecture 0020 • Cybersecurity Trends,Guest Lecture,Cybersecurity Trends,Join us for a guest lecture on Cybersecurity Trends.,06/21/2023 10:00,06/21/2023 18:00,America/New_York,Virtual,Data Science Hub,Seattle,WA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,282,1,149,107,3.61
21,0521c552-e280-43fa-9018-c459d13a3519,Meetup 0021 • Cybersecurity Trends,Meetup,Cybersecurity Trends,Join us for a meetup on Cybersecurity Trends.,07/12/2022 18:00,07/13/2022 00:00,America/Los_Angeles,Hybrid,Global Webinar Room,Online,NA,USA,Cybersecurity Center,cybercenter@slu.edu,227,0,133,124,3.69
22,620f6367-3347-4081-b83f-ac42444340b1,Webinar 0022 • Graduate School Pathways,Webinar,Graduate School Pathways,Join us for a webinar on Graduate School Pathways.,08/30/2023 18:00,08/31/2023 00:00,America/Chicago,Virtual,Chaifetz Arena,St. Louis,MO,USA,Career Services,careerservices@slu.edu,486,1,453,325,3.92
23,4d9c0606-720a-4b23-b743-8960d9b483fa,Panel 0023 • Resume & Interview Mastery,Panel,Resume & Interview Mastery,Join us for a panel on Resume & Interview Mastery.,12/08/2022 10:00,12/08/2022 13:00,America/Chicago,In-person,Chaifetz Arena,St. Louis,MO,USA,Cybersecurity Center,cybercenter@slu.edu,68,1,27,26,4.25
24,3e9e2a7b-40de-4a65-83a1-1c599acdfa3f,Panel 0024 • Consulting Case Prep,Panel,Consulting Case Prep,Join us for a panel on Consulting Case Prep.,01/15/2024 18:00,01/15/2024 19:00,America/Los_Angeles,In-person,Global Webinar Room,Online,NA,USA,School of Science & Engineering,sse-events@slu.edu,70,1,61,53,4.94
25,da62b51b-05cd-4010-b8a3-ab61528383bf,Panel 0025 • Resume & Interview Mastery,Panel,Resume & Interview Mastery,Join us for a panel on Resume & Interview Mastery.,11/14/2026 14:00,11/14/2026 16:00,America/Los_Angeles,Hybrid,Busch Student Center,St. Louis,MO,USA,Career Services,careerservices@slu.edu,136,1,114,77,4.65
26,ec521cf2-6e19-4d32-81a4-f025f9116668,Meetup 0026 • Consulting Case Prep,Meetup,Consulting Case Prep,Join us for a meetup on Consulting Case Prep.,06/24/2020 10:00,06/24/2020 18:00,America/Chicago,Virtual,Busch Student Center,St. Louis,MO,USA,Cybersecurity Center,cybercenter@slu.edu,162,1,95,60,4.51
27,02d1e831-7953-40e7-9666-1671282e6af8,Career Fair 0027 • Networking with Employers,Career Fair,Networking with Employers,Join us for a career fair on Networking with Employers.,09/21/2024 18:00,09/21/2024 21:00,America/Chicago,Hybrid,Data Science Hub,Seattle,WA,USA,School of Science & Engineering,sse-events@slu.edu,696,0,639,635,4.94
28,3e5d657b-c78a-4723-9aee-284d3357b4f5,Webinar 0028 • Graduate School Pathways,Webinar,Graduate School Pathways,Join us for a webinar on Graduate School Pathways.,08/12/2021 10:00,08/12/2021 16:00,America/New_York,In-person,Chaifetz Arena,St. Louis,MO,USA,Data Science Institute,dsi@slu.edu,703,1,503,389,3.94
29,035caa9e-3c64-4492-8952-027b2bb7fd70,Hackathon 0029 • Networking with Employers,Hackathon,Networking with Employers,Join us for a hackathon on Networking with Employers.,09/24/2023 10:00,09/24/2023 18:00,America/Chicago,In-person,Career Services Hall,Chicago,IL,USA,Career Services,careerservices@slu.edu,203,1,200,133,4.87
30,02fedadd-a6a5-484b-8c90-0ec5ba77212a,Networking Night 0030 • AI & Data Analytics Careers,Networking Night,AI & Data Analytics Careers,Join us for a networking night on AI & Data Analytics Careers.,07/27/2026 18:00,07/27/2026 22:00,America/Los_Angeles,Hybrid,Tech Innovation Lab,Austin,TX,USA,Chaifetz School of Business,chaifetz-events@slu.edu,273,1,246,174,3.71
31,9c289e5c-944c-4f92-a444-68028420bbdf,Workshop 0031 • Cybersecurity Trends,Workshop,Cybersecurity Trends,Join us for a workshop on Cybersecurity Trends.,12/17/2023 10:00,12/17/2023 18:00,America/Chicago,Virtual,Chaifetz Arena,St. Louis,MO,USA,Chaifetz School of Business,chaifetz-events@slu.edu,137,1,72,67,4.58
32,82491541-b2f7-43f8-8419-e03fa7135397,Webinar 0032 • Resume & Interview Mastery,Webinar,Resume & Interview Mastery,Join us for a webinar on Resume & Interview Mastery.,12/13/2022 10:00,12/13/2022 18:00,America/New_York,Hybrid,Data Science Hub,Seattle,WA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,504,1,296,216,4.38
33,c7e322dc-bef1-4d56-aba3-1c5ebfade09f,Networking Night 0033 • Cloud & DevOps Pathways,Networking Night,Cloud & DevOps Pathways,Join us for a networking night on Cloud & DevOps Pathways.,10/21/2022 14:00,10/21/2022 18:00,America/New_York,In-person,Alumni Center,Boston,MA,USA,Alumni Office,alumni@slu.edu,150,1,124,81,4.05
34,ec52f839-8e94-42ec-9a76-a012360c754e,Panel 0034 • Resume & Interview Mastery,Panel,Resume & Interview Mastery,Join us for a panel on Resume & Interview Mastery.,08/15/2022 14:00,08/15/2022 16:00,America/Chicago,In-person,Data Science Hub,Seattle,WA,USA,Alumni Office,alumni@slu.edu,119,1,62,46,4.81
35,5c4ce33e-5815-4278-807b-271e3a00b13f,Workshop 0035 • Product & Project Management,Workshop,Product & Project Management,Join us for a workshop on Product & Project Management.,01/04/2025 18:00,01/04/2025 21:00,America/Chicago,Hybrid,Virtual Stage,Online,NA,USA,Career Services,careerservices@slu.edu,155,1,120,78,4.86
36,e74842e5-721b-4b1f-9cfa-d8e76fd66741,Meetup 0036 • Tech for Good,Meetup,Tech for Good,Join us for a meetup on Tech for Good.,10/31/2025 14:00,10/31/2025 17:00,America/New_York,In-person,Virtual Stage,Online,NA,USA,Career Services,careerservices@slu.edu,65,0,48,46,4.32
37,dc3a27ac-83e7-41c0-a5bf-a817378810d4,Workshop 0037 • AI & Data Analytics Careers,Workshop,AI & Data Analytics Careers,Join us for a workshop on AI & Data Analytics Careers.,02/03/2022 18:00,02/03/2022 22:00,America/New_York,Hybrid,Data Science Hub,Seattle,WA,USA,Data Science Institute,dsi@slu.edu,30,1,30,20,3.59
38,a487137d-1650-42aa-8fb7-7d1262938299,Hackathon 0038 • Cybersecurity Trends,Hackathon,Cybersecurity Trends,Join us for a hackathon on Cybersecurity Trends.,12/04/2021 14:00,12/04/2021 18:00,America/Chicago,Hybrid,Tech Innovation Lab,Austin,TX,USA,Data Science Institute,dsi@slu.edu,148,1,69,59,4.95
39,299baae2-418b-4f0a-ba6a-6419ef121075,Webinar 0039 • Resume & Interview Mastery,Webinar,Resume & Interview Mastery,Join us for a webinar on Resume & Interview Mastery.,03/12/2023 14:00,03/12/2023 17:00,America/New_York,Hybrid,Tech Innovation Lab,Austin,TX,USA,Career Services,careerservices@slu.edu,220,1,160,145,3.52
40,9ae36ff5-cc63-4de3-b688-7e5f3e5220ef,Networking Night 0040 • Graduate School Pathways,Networking Night,Graduate School Pathways,Join us for a networking night on Graduate School Pathways.,10/05/2025 18:00,10/06/2025 02:00,America/Los_Angeles,Virtual,Busch Student Center,St. Louis,MO,USA,School of Science & Engineering,sse-events@slu.edu,158,0,150,125,4.44
41,add0fbc5-2c81-4989-8e98-176a8c7c135f,Webinar 0041 • Cybersecurity Trends,Webinar,Cybersecurity Trends,Join us for a webinar on Cybersecurity Trends.,11/11/2025 18:00,11/11/2025 21:00,America/New_York,Hybrid,Virtual Stage,Online,NA,USA,Career Services,careerservices@slu.edu,290,1,199,182,3.52
42,80b6f6a0-3eca-4b49-9c72-899aea5f56bd,Networking Night 0042 • Graduate School Pathways,Networking Night,Graduate School Pathways,Join us for a networking night on Graduate School Pathways.,04/19/2020 18:00,04/20/2020 00:00,America/New_York,In-person,Busch Student Center,St. Louis,MO,USA,Chaifetz School of Business,chaifetz-events@slu.edu,356,1,171,138,4.32
43,abc9d08a-76ce-4aae-9660-fbe9336880d2,Meetup 0043 • Product & Project Management,Meetup,Product & Project Management,Join us for a meetup on Product & Project Management.,07/31/2020 18:00,07/31/2020 22:00,America/New_York,Virtual,Data Science Hub,Seattle,WA,USA,Career Services,careerservices@slu.edu,180,0,100,74,4.46
44,1b466cc2-0c25-40e9-b0dd-c8ece6c826c3,Meetup 0044 • Cybersecurity Trends,Meetup,Cybersecurity Trends,Join us for a meetup on Cybersecurity Trends.,02/27/2023 10:00,02/27/2023 18:00,America/Chicago,Hybrid,Data Science Hub,Seattle,WA,USA,Cybersecurity Center,cybercenter@slu.edu,92,1,69,68,4.02
45,4265f4aa-fa7f-41c0-b7a8-1b20f913b05e,Networking Night 0045 • Resume & Interview Mastery,Networking Night,Resume & Interview Mastery,Join us for a networking night on Resume & Interview Mastery.,09/23/2021 14:00,09/23/2021 15:00,America/New_York,Virtual,Busch Student Center,St. Louis,MO,USA,Career Services,careerservices@slu.edu,176,0,53,39,4.81
46,a14d0bb9-f90c-43c3-b684-81bb10228ea2,Networking Night 0046 • Consulting Case Prep,Networking Night,Consulting Case Prep,Join us for a networking night on Consulting Case Prep.,09/01/2023 18:00,09/01/2023 22:00,America/New_York,Hybrid,Busch Student Center,St. Louis,MO,USA,Data Science Institute,dsi@slu.edu,316,1,285,222,4.81
47,b7384d0c-9c0a-448b-9415-627143dca06d,Panel 0047 • Product & Project Management,Panel,Product & Project Management,Join us for a panel on Product & Project Management.,10/14/2023 10:00,10/14/2023 16:00,America/New_York,Virtual,Career Services Hall,Chicago,IL,USA,Cybersecurity Center,cybercenter@slu.edu,204,1,149,113,3.9
48,e5a70d1b-7fe0-4df1-989d-b749eb83f792,Guest Lecture 0048 • Tech for Good,Guest Lecture,Tech for Good,Join us for a guest lecture on Tech for Good.,06/14/2022 10:00,06/14/2022 11:00,America/Los_Angeles,In-person,Alumni Center,Boston,MA,USA,Cybersecurity Center,cybercenter@slu.edu,270,1,160,102,4.76
49,35293bc1-0394-46e6-a471-63d6ba81e648,Panel 0049 • Tech for Good,Panel,Tech for Good,Join us for a panel on Tech for Good.,08/19/2026 10:00,08/19/2026 12:00,America/Los_Angeles,Hybrid,Busch Student Center,St. Louis,MO,USA,Data Science Institute,dsi@slu.edu,163,1,152,115,4.97
50,0e8aede4-ddec-40e5-844d-b209b589ab79,Networking Night 0050 • Cybersecurity Trends,Networking Night,Cybersecurity Trends,Join us for a networking night on Cybersecurity Trends.,10/06/2023 14:00,10/06/2023 17:00,America/Chicago,Hybrid,Career Services Hall,Chicago,IL,USA,Cybersecurity Center,cybercenter@slu.edu,377,1,126,84,3.85
51,925771a3-7292-4713-8ba6-dfc24fe40244,Workshop 0051 • Resume & Interview Mastery,Workshop,Resume & Interview Mastery,Join us for a workshop on Resume & Interview Mastery.,02/28/2024 10:00,02/28/2024 18:00,America/Los_Angeles,In-person,Tech Innovation Lab,Austin,TX,USA,Cybersecurity Center,cybercenter@slu.edu,162,1,69,56,4.21
52,9734b2e6-6249-4bdd-ab68-e526d367e9fc,Hackathon 0052 • Cloud & DevOps Pathways,Hackathon,Cloud & DevOps Pathways,Join us for a hackathon on Cloud & DevOps Pathways.,05/10/2020 14:00,05/10/2020 17:00,America/Los_Angeles,Virtual,Career Services Hall,Chicago,IL,USA,Chaifetz School of Business,chaifetz-events@slu.edu,187,1,92,68,4.26
53,454497f5-860a-4e04-b3a3-37acfeea725a,Hackathon 0053 • Tech for Good,Hackathon,Tech for Good,Join us for a hackathon on Tech for Good.,08/28/2021 14:00,08/28/2021 15:00,America/New_York,Hybrid,Busch Student Center,St. Louis,MO,USA,Data Science Institute,dsi@slu.edu,204,1,82,71,4.6
54,190b89b5-d628-4be5-af1f-516d74fc3e0c,Career Fair 0054 • Graduate School Pathways,Career Fair,Graduate School Pathways,Join us for a career fair on Graduate School Pathways.,09/03/2025 14:00,09/03/2025 22:00,America/Chicago,Virtual,Alumni Center,Boston,MA,USA,Career Services,careerservices@slu.edu,674,1,545,392,4.66
55,aab98ca7-45a4-4d13-b56a-11aba9c1b9bc,Guest Lecture 0055 • Networking with Employers,Guest Lecture,Networking with Employers,Join us for a guest lecture on Networking with Employers.,09/04/2022 10:00,09/04/2022 14:00,America/Chicago,In-person,Career Services Hall,Chicago,IL,USA,Career Services,careerservices@slu.edu,274,1,182,173,3.87
56,153a6e84-aa06-4266-932b-f5fbf744afd6,Webinar 0056 • AI & Data Analytics Careers,Webinar,AI & Data Analytics Careers,Join us for a webinar on AI & Data Analytics Careers.,01/20/2024 10:00,01/20/2024 12:00,America/Chicago,Virtual,Data Science Hub,Seattle,WA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,499,1,347,336,4.14
57,3d5494da-5e69-46d1-8f3b-6acb772a0b51,Panel 0057 • Graduate School Pathways,Panel,Graduate School Pathways,Join us for a panel on Graduate School Pathways.,07/17/2026 14:00,07/17/2026 20:00,America/Chicago,Virtual,Tech Innovation Lab,Austin,TX,USA,Cybersecurity Center,cybercenter@slu.edu,137,1,58,48,4.04
58,7dee14a9-ea4b-45d4-af7c-b280e3233612,Meetup 0058 • Product & Project Management,Meetup,Product & Project Management,Join us for a meetup on Product & Project Management.,01/10/2020 18:00,01/11/2020 02:00,America/Los_Angeles,In-person,Virtual Stage,Online,NA,USA,Career Services,careerservices@slu.edu,181,1,78,68,3.63
59,8c159a43-915f-43fb-8966-24bbbe27edc2,Career Fair 0059 • Consulting Case Prep,Career Fair,Consulting Case Prep,Join us for a career fair on Consulting Case Prep.,12/28/2024 14:00,12/28/2024 22:00,America/Chicago,In-person,Virtual Stage,Online,NA,USA,School of Science & Engineering,sse-events@slu.edu,616,0,542,427,4.86
60,a0833b84-4bf4-4862-91e7-9fb1176a958d,Panel 0060 • Networking with Employers,Panel,Networking with Employers,Join us for a panel on Networking with Employers.,08/25/2024 18:00,08/25/2024 21:00,America/Chicago,Hybrid,Virtual Stage,Online,NA,USA,Career Services,careerservices@slu.edu,87,1,42,27,4.43
61,05e8b1ca-43c7-4169-98e4-a46ec487667c,Webinar 0061 • Consulting Case Prep,Webinar,Consulting Case Prep,Join us for a webinar on Consulting Case Prep.,12/02/2020 10:00,12/02/2020 11:00,America/New_York,Virtual,Data Science Hub,Seattle,WA,USA,Cybersecurity Center,cybercenter@slu.edu,495,1,236,181,4.35
62,0ab8a0c4-e774-42f6-bfce-891f0d30f89b,Career Fair 0062 • Entrepreneurship,Career Fair,Entrepreneurship,Join us for a career fair on Entrepreneurship.,10/03/2020 18:00,10/04/2020 02:00,America/New_York,Hybrid,Busch Student Center,St. Louis,MO,USA,Cybersecurity Center,cybercenter@slu.edu,957,0,537,495,3.91
63,9aeb7022-548b-479c-8e0e-09a2f23b67d4,Workshop 0063 • Entrepreneurship,Workshop,Entrepreneurship,Join us for a workshop on Entrepreneurship.,05/04/2025 14:00,05/04/2025 15:00,America/Chicago,Hybrid,Tech Innovation Lab,Austin,TX,USA,Chaifetz School of Business,chaifetz-events@slu.edu,176,1,131,123,3.74
64,3d44aa6e-d519-4a12-8c78-f594ddd9fbba,Networking Night 0064 • Graduate School Pathways,Networking Night,Graduate School Pathways,Join us for a networking night on Graduate School Pathways.,04/19/2020 10:00,04/19/2020 18:00,America/New_York,In-person,Data Science Hub,Seattle,WA,USA,Cybersecurity Center,cybercenter@slu.edu,127,1,127,125,4.64
65,81841f54-aaab-4e7f-87b0-419db8543051,Guest Lecture 0065 • AI & Data Analytics Careers,Guest Lecture,AI & Data Analytics Careers,Join us for a guest lecture on AI & Data Analytics Careers.,01/18/2021 14:00,01/18/2021 22:00,America/New_York,Virtual,Alumni Center,Boston,MA,USA,Cybersecurity Center,cybercenter@slu.edu,255,1,134,113,4.75
66,a2b03bb3-14ef-43c1-9f61-282e126f1b68,Webinar 0066 • Graduate School Pathways,Webinar,Graduate School Pathways,Join us for a webinar on Graduate School Pathways.,02/20/2021 10:00,02/20/2021 18:00,America/Chicago,Virtual,Career Services Hall,Chicago,IL,USA,Cybersecurity Center,cybercenter@slu.edu,786,1,603,573,4.26
67,a3387ed2-7172-461a-b1f4-81058c2b3b9e,Guest Lecture 0067 • Tech for Good,Guest Lecture,Tech for Good,Join us for a guest lecture on Tech for Good.,04/14/2026 18:00,04/14/2026 22:00,America/New_York,Hybrid,Virtual Stage,Online,NA,USA,Alumni Office,alumni@slu.edu,227,1,166,166,4.06
68,9116abb9-8f8c-44a2-832a-e925c5fe0511,Networking Night 0068 • Cloud & DevOps Pathways,Networking Night,Cloud & DevOps Pathways,Join us for a networking night on Cloud & DevOps Pathways.,09/06/2022 18:00,09/07/2022 00:00,America/Chicago,Virtual,Chaifetz Arena,St. Louis,MO,USA,Cybersecurity Center,cybercenter@slu.edu,248,0,138,93,4.39
69,89c3f5b1-cca9-4414-bb0a-740030ed7ef3,Meetup 0069 • Entrepreneurship,Meetup,Entrepreneurship,Join us for a meetup on Entrepreneurship.,11/15/2023 10:00,11/15/2023 16:00,America/Los_Angeles,Virtual,Tech Innovation Lab,Austin,TX,USA,School of Science & Engineering,sse-events@slu.edu,70,0,54,51,4.15
70,27365040-307f-437f-9f95-4bddb1458130,Meetup 0070 • Product & Project Management,Meetup,Product & Project Management,Join us for a meetup on Product & Project Management.,08/08/2023 10:00,08/08/2023 12:00,America/Chicago,Virtual,Global Webinar Room,Online,NA,USA,Alumni Office,alumni@slu.edu,247,1,113,79,3.56
71,547460ce-77ab-4f58-a980-df0c2733881c,Webinar 0071 • Consulting Case Prep,Webinar,Consulting Case Prep,Join us for a webinar on Consulting Case Prep.,07/18/2020 10:00,07/18/2020 18:00,America/New_York,Hybrid,Tech Innovation Lab,Austin,TX,USA,Chaifetz School of Business,chaifetz-events@slu.edu,684,1,286,192,4.48
72,fa8f8ef4-48ee-4200-b3ef-19e1bc32257a,Guest Lecture 0072 • AI & Data Analytics Careers,Guest Lecture,AI & Data Analytics Careers,Join us for a guest lecture on AI & Data Analytics Careers.,02/26/2021 14:00,02/26/2021 22:00,America/Los_Angeles,In-person,Tech Innovation Lab,Austin,TX,USA,Alumni Office,alumni@slu.edu,284,1,148,125,3.61
73,8d442ce1-8b00-4478-9d97-ef1097105f64,Networking Night 0073 • Cybersecurity Trends,Networking Night,Cybersecurity Trends,Join us for a networking night on Cybersecurity Trends.,10/23/2020 10:00,10/23/2020 16:00,America/New_York,Virtual,Tech Innovation Lab,Austin,TX,USA,Career Services,careerservices@slu.edu,152,0,113,84,4.23
74,d3da013b-6190-49f4-b0ab-075226e14298,Panel 0074 • Networking with Employers,Panel,Networking with Employers,Join us for a panel on Networking with Employers.,05/01/2025 10:00,05/01/2025 16:00,America/New_York,Hybrid,Chaifetz Arena,St. Louis,MO,USA,Chaifetz School of Business,chaifetz-events@slu.edu,169,1,100,61,4.87
75,15e5c2e7-223f-489d-8f64-bc84ece0dccd,Meetup 0075 • Entrepreneurship,Meetup,Entrepreneurship,Join us for a meetup on Entrepreneurship.,10/07/2025 14:00,10/07/2025 16:00,America/New_York,Virtual,Tech Innovation Lab,Austin,TX,USA,School of Science & Engineering,sse-events@slu.edu,92,1,37,33,4.78
76,3747d4e9-26fe-454f-a679-bb3274c0dcbf,Webinar 0076 • Graduate School Pathways,Webinar,Graduate School Pathways,Join us for a webinar on Graduate School Pathways.,03/05/2026 10:00,03/05/2026 13:00,America/Chicago,In-person,Virtual Stage,Online,NA,USA,School of Science & Engineering,sse-events@slu.edu,743,1,614,475,4.38
77,2147e122-6ff6-4745-a809-197966f34e17,Panel 0077 • Product & Project Management,Panel,Product & Project Management,Join us for a panel on Product & Project Management.,02/17/2026 14:00,02/17/2026 18:00,America/New_York,Virtual,Career Services Hall,Chicago,IL,USA,Chaifetz School of Business,chaifetz-events@slu.edu,168,1,68,62,3.54
78,b81ac061-9031-49fd-bf0a-bbc62c63ee78,Hackathon 0078 • Tech for Good,Hackathon,Tech for Good,Join us for a hackathon on Tech for Good.,10/26/2020 10:00,10/26/2020 11:00,America/Los_Angeles,Virtual,Chaifetz Arena,St. Louis,MO,USA,Chaifetz School of Business,chaifetz-events@slu.edu,392,1,335,293,4.37
79,fbc36788-14ea-4869-9404-e2c358ec1c08,Workshop 0079 • Product & Project Management,Workshop,Product & Project Management,Join us for a workshop on Product & Project Management.,11/29/2026 14:00,11/29/2026 22:00,America/Chicago,Hybrid,Chaifetz Arena,St. Louis,MO,USA,Chaifetz School of Business,chaifetz-events@slu.edu,62,1,21,17,4.9
80,f1db7ed1-bf9b-4fee-9b0b-5612163363e5,Meetup 0080 • Cybersecurity Trends,Meetup,Cybersecurity Trends,Join us for a meetup on Cybersecurity Trends.,05/18/2026 10:00,05/18/2026 13:00,America/Chicago,Virtual,Chaifetz Arena,St. Louis,MO,USA,School of Science & Engineering,sse-events@slu.edu,132,0,131,126,4.92
81,506f0ab2-1c9c-4a25-92fc-060ae11d55a2,Networking Night 0081 • Networking with Employers,Networking Night,Networking with Employers,Join us for a networking night on Networking with Employers.,04/08/2021 18:00,04/08/2021 20:00,America/New_York,In-person,Data Science Hub,Seattle,WA,USA,Chaifetz School of Business,chaifetz-events@slu.edu,230,1,89,59,4.95
