serial_no,job_id,student_id,employer_id,job_title,job_family,job_level,job_type,employment_mode,location_city,location_state,location_country,offer_date,offer_accept_date,start_date,end_date,salary_currency,salary_base_annual,visa_type,source_channel,created_at
11,a49b46b7-dfb4-4881-a0ee-5df4177a7b79,cddef181-27d8-4cc1-8733-a231ebdd574d,EMP000011,QA Engineer,Engineering,Mid,Contract,Hybrid,New York,NY,USA,03/11/2025,03/18/2025,05/02/2025,12/12/2026,USD,133708.0,Citizen,Career Fair,2025-10-25
12,ca0ef28f-7533-4cfd-b050-632095763be2,b175b934-d744-45c1-9a17-2e5044ae7c82,EMP000012,Data Engineer,Quality,Mid,Contract,Remote,St. Louis,MO,USA,01/09/2022,01/17/2022,08/24/2022,08/04/2024,USD,125665.0,H1B,LinkedIn,2025-10-25
13,a74d8546-3313-4380-b122-4b14585a33a3,c0d141cb-af8d-4dcf-b64b-fbfd511cf30a,EMP000013,Software Engineer,Engineering,Senior,Contract,On-site,Boston,MA,USA,06/27/2024,07/06/2024,12/07/2024,12/26/2025,USD,122303.0,PR,Handshake,2025-10-25
14,ce26ecf3-1027-41b4-8fec-b91f46906e9a,c8582c26-5f42-4db2-9020-4d4c5a50dfc7,EMP000014,Data Analyst,Security,Senior,Full-time,Hybrid,Dallas,TX,USA,03/15/2023,03/16/2023,08/01/2023,05/29/2025,USD,117600.0,OPT,Referral,2025-10-25
15,1b6ac63f-80e1-44ed-95c8-418a16f44cca,086519fc-bdb3-49a7-8d29-8e1b1db41c3a,EMP000015,ML Engineer,Engineering,Mid,Full-time,Remote,St. Louis,MO,USA,01/04/2022,01/16/2022,06/09/2022,08/24/2023,USD,117954.0,OPT,LinkedIn,2025-10-25
16,44d9eb6c-2a05-42f6-9985-15bd1ce6b098,03c691d2-c4b4-4e7e-b34d-a8bb0ae9e476,EMP000016,QA Engineer,Security,Mid,Contract,Remote,St. Louis,MO,USA,12/28/2020,12/29/2020,04/29/2021,11/18/2022,USD,97477.0,STEM OPT,Referral,2025-10-25
17,e79feb9f-2823-4b26-b6f1-d1f162881c83,c3448ff8-47d7-43b0-be27-bbf3696631de,EMP000017,Cloud Engineer,Quality,Intern,Full-time,On-site,St. Louis,MO,USA,03/09/2025,03/22/2025,08/05/2025,12/31/2026,USD,106860.0,PR,Direct Apply,2025-10-25
18,3a8e527c-c24e-4dc8-a741-748dfd55f9af,1fa5c9ad-7909-4ae8-9a36-46eb4d24ae90,EMP000018,Software Engineer,Product,Senior,Full-time,Hybrid,Dallas,TX,USA,04/14/2025,04/21/2025,07/15/2025,09/06/2026,USD,106830.0,PR,Direct Apply,2025-10-25
19,942b4f00-e99a-42ef-af62-0604a7dbce1a,9083c77c-4252-470b-a48c-1718a0099487,EMP000019,Data Analyst,Quality,Junior,Full-time,Hybrid,Boston,MA,USA,12/30/2024,01/13/2025,07/18/2025,12/31/2026,USD,91181.0,STEM OPT,Referral,2025-10-25
20,bd5a5ca8-38ca-4ea7-b336-32f3c71802d8,de3c9953-ac0f-46ec-a66e-71f36a107ff9,EMP000020,Business Analyst,Product,Junior,Contract,On-site,Seattle,WA,USA,11/17/2021,11/20/2021,05/07/2022,11/15/2023,USD,121087.0,STEM OPT,Referral,2025-10-25
21,0f5be5de-839b-4f22-9b8f-678e6396a7ce,20d44951-4c0b-47df-a6c1-645770e53541,EMP000021,QA Engineer,Security,Junior,Full-time,On-site,St. Louis,MO,USA,04/19/2025,05/01/2025,07/18/2025,12/31/2026,USD,96724.0,OPT,Direct Apply,2025-10-25
22,1618c4bb-f19f-42fc-a4ad-a214d1e7204d,0700fdeb-54a9-4a38-a9ca-c4c23b42bab2,EMP000022,QA Engineer,Product,Senior,Internship,Remote,Hyderabad,NA,India,02/22/2024,02/27/2024,08/29/2024,02/28/2026,USD,124990.0,Other,LinkedIn,2025-10-25
23,1e82a3a3-d434-4dcd-a5d5-3a2d2e70aed1,99335071-e79d-44a5-af21-995097013122,EMP000023,Security Analyst,Security,Senior,Internship,On-site,Chicago,IL,USA,03/13/2021,03/14/2021,05/13/2021,12/09/2022,USD,102863.0,OPT,Direct Apply,2025-10-25
24,7be37e7d-a1eb-411c-aecd-f1f238d1dc24,d91017f6-93c2-4b97-a540-35d54ac70558,EMP000024,Associate Consultant,Consulting,Mid,Contract,On-site,Hyderabad,NA,India,01/01/2023,01/15/2023,08/23/2023,02/17/2025,USD,119776.0,PR,Direct Apply,2025-10-25
25,a16de4d8-2a10-40b6-99d7-129d0448d354,9657101a-f498-4113-b083-fe7febf5f04e,EMP000025,ML Engineer,Security,Senior,Internship,Remote,St. Louis,MO,USA,04/20/2022,05/01/2022,08/22/2022,04/12/2024,USD,113380.0,PR,Career Fair,2025-10-25
26,25239753-be38-430a-9b4b-d7e6c3ba3040,eb38ca0e-8990-4d8b-aa11-da730aa54be4,EMP000026,Product Analyst,Engineering,Senior,Contract,Remote,Hyderabad,NA,India,02/28/2024,02/28/2024,04/19/2024,09/24/2025,USD,123360.0,PR,Direct Apply,2025-10-25
27,242ff492-4d01-48fc-b658-81d8d0a40a49,dd7ca99e-152b-4a1e-8d06-4b6cefbc3bde,EMP000027,QA Engineer,Quality,Mid,Contract,Remote,St. Louis,MO,USA,02/20/2022,03/03/2022,06/05/2022,11/17/2023,USD,124486.0,PR,Career Fair,2025-10-25
28,75c24388-49f0-4460-8ab2-aae836dfd5de,0612434e-9bb2-4e45-8cc2-0b5a18349fe5,EMP000028,Data Analyst,Security,Intern,Full-time,Remote,New York,NY,USA,03/01/2022,03/01/2022,04/21/2022,03/27/2024,USD,128384.0,H1B,Handshake,2025-10-25
29,da1a94c8-b9c5-449d-8635-4898b773b11e,31b4d28f-2aa5-41f8-a5ce-bb44eb17f973,EMP000029,Business Analyst,Security,Intern,Internship,Hybrid,Austin,TX,USA,06/04/2023,06/06/2023,08/02/2023,06/29/2025,USD,117970.0,STEM OPT,Handshake,2025-10-25
30,fa051b0b-9028-40d1-b6fb-6b0226e50792,720bb7ee-1205-4b9b-9fe4-e423382a8800,EMP000030,ML Engineer,Consulting,Junior,Internship,Remote,Seattle,WA,USA,11/11/2023,11/22/2023,04/20/2024,11/15/2025,USD,114302.0,Citizen,Direct Apply,2025-10-25
31,c994cf61-39c1-4c91-a2c3-f583e278fe7a,1c817377-c4b5-4d08-b5c0-68361feaa8a6,EMP000031,QA Engineer,Quality,Intern,Full-time,Remote,Boston,MA,USA,09/20/2022,09/29/2022,05/04/2023,11/16/2024,USD,114166.0,STEM OPT,Career Fair,2025-10-25
32,045bf405-85be-42b2-b72a-a3df45201187,bc6ccfef-cfd1-417a-9908-7beb10b148f0,EMP000032,Business Analyst,Engineering,Senior,Internship,Hybrid,New York,NY,USA,01/25/2024,02/04/2024,09/02/2024,10/05/2025,USD,113572.0,STEM OPT,Career Fair,2025-10-25
33,8e08b7c0-48db-4cba-b997-55e5d919a414,93af3405-7385-4c99-85ff-ad1833af125a,EMP000033,Data Engineer,Consulting,Mid,Internship,On-site,Boston,MA,USA,06/30/2026,07/13/2026,11/14/2026,12/31/2026,USD,137581.0,PR,Career Fair,2025-10-25
34,dafada0c-b215-4f7f-b718-8f2416efc07f,86814efc-cb00-406c-8a06-55efec2d6b10,EMP000034,Cloud Engineer,Security,Mid,Contract,On-site,New York,NY,USA,04/01/2026,04/03/2026,08/23/2026,12/31/2026,USD,91288.0,STEM OPT,Career Fair,2025-10-25
35,e3536593-9ac5-4211-8a9b-47a44bb7b8a9,92f9d2dd-c2ba-4bc8-ace0-58ca320f757a,EMP000035,Data Engineer,Engineering,Junior,Internship,Remote,St. Louis,MO,USA,03/19/2025,03/22/2025,10/15/2025,12/31/2026,USD,90208.0,STEM OPT,Direct Apply,2025-10-25
36,6ebf7f00-fb85-4204-9f6f-ab40540c0942,aa07b5ee-c590-481b-b384-a35e51943c78,EMP000036,Security Analyst,Product,Junior,Contract,Remote,Dallas,TX,USA,05/29/2022,06/11/2022,08/09/2022,07/31/2024,USD,103856.0,STEM OPT,Referral,2025-10-25
37,2e47dd9b-ce81-4ad9-a4f5-c0424cc97b62,a37a9abb-0720-41dc-8d19-e30b11cf9e44,EMP000037,Associate Consultant,Product,Junior,Full-time,Remote,Chicago,IL,USA,03/15/2021,03/19/2021,08/10/2021,01/02/2023,USD,120551.0,Other,LinkedIn,2025-10-25
38,07c0c5d1-5ee4-459e-9f09-6d3b4a0f71e9,17140980-5c84-4ffb-b281-40560fec8d7f,EMP000038,QA Engineer,Product,Senior,Full-time,Remote,Hyderabad,NA,India,07/12/2022,07/15/2022,10/20/2022,08/03/2024,USD,104445.0,OPT,Direct Apply,2025-10-25
39,d32be1d2-6693-46e4-a1a4-3ab70bdf5239,a5d914c2-2a92-4692-a9b4-1e5a0f74fdc3,EMP000039,Associate Consultant,Consulting,Mid,Contract,Hybrid,Chicago,IL,USA,01/24/2024,02/04/2024,05/04/2024,07/14/2025,USD,121391.0,PR,Handshake,2025-10-25
40,2c75fec9-f1a1-437b-a32d-476f2bada72b,71c30979-01d8-4636-a90c-45abc761e8ea,EMP000040,Cloud Engineer,Quality,Mid,Full-time,On-site,Dallas,TX,USA,01/16/2025,01/17/2025,05/03/2025,12/17/2026,USD,100221.0,Other,LinkedIn,2025-10-25
41,0b6bf3d6-3c68-48f1-a395-a526c43a65d6,15631a6a-67c3-4e2b-857c-37b18107039a,EMP000041,Business Analyst,Analytics,Mid,Full-time,On-site,Chicago,IL,USA,07/29/2023,08/07/2023,11/21/2023,10/15/2025,USD,105241.0,STEM OPT,Referral,2025-10-25
42,3d088b76-224d-4c4a-b983-cfc230de6442,12c0b688-8ba9-47db-bb82-e6cf3496e9c0,EMP000042,Associate Consultant,Engineering,Junior,Full-time,Hybrid,Hyderabad,NA,India,12/05/2021,12/09/2021,05/21/2022,03/30/2024,USD,90287.0,OPT,LinkedIn,2025-10-25
43,6042f71a-9e6c-4aae-9934-2684f45454af,006313ce-bf55-4f4e-9a08-69e63e1e2af8,EMP000043,ML Engineer,Engineering,Senior,Internship,On-site,New York,NY,USA,06/15/2025,06/24/2025,08/05/2025,11/26/2026,USD,120772.0,STEM OPT,LinkedIn,2025-10-25
44,41538331-29d2-4228-bec7-272b56da5b5e,b0f951c8-fb5b-4f84-b4e6-dad912ff33dd,EMP000044,Data Analyst,Engineering,Junior,Contract,Remote,Austin,TX,USA,01/10/2026,01/24/2026,05/06/2026,12/31/2026,USD,102958.0,H1B,Referral,2025-10-25
45,99aee6f1-bd2b-47f1-9cbb-2804d70ab1e8,4a8f8664-f2aa-4978-84f8-e0c178466d08,EMP000045,Product Analyst,Consulting,Senior,Contract,Remote,St. Louis,MO,USA,05/05/2026,05/14/2026,09/06/2026,12/31/2026,USD,117342.0,Other,Referral,2025-10-25
46,944d1572-a70c-42f6-a6c7-688fd33210fc,ff9fdb16-79dd-4219-9ede-ed3cbbcf5b2b,EMP000046,Data Engineer,Quality,Senior,Full-time,Remote,Chicago,IL,USA,08/30/2026,09/07/2026,10/27/2026,12/31/2026,USD,125475.0,PR,Direct Apply,2025-10-25
47,0e775419-cee8-4be4-a94f-96735c8b91bc,2be1bf82-00ff-4fda-be5a-e26b69df9e06,EMP000047,Data Analyst,Quality,Mid,Contract,Hybrid,Chicago,IL,USA,01/25/2024,01/26/2024,06/04/2024,04/27/2026,USD,101335.0,H1B,Handshake,2025-10-25
48,ff39a4ac-efba-441f-951f-c2e5d69c25b6,2e833822-1709-427f-b9e6-128916319f38,EMP000048,Security Analyst,Engineering,Senior,Contract,Remote,St. Louis,MO,USA,11/08/2023,11/10/2023,04/18/2024,12/15/2025,USD,105097.0,Other,Career Fair,2025-10-25
49,9a33b21f-acea-4fe8-b509-87300602e36d,912564cb-da24-4a47-91aa-e6d8886b4c98,EMP000049,Product Analyst,Security,Intern,Contract,On-site,Dallas,TX,USA,09/19/2020,10/03/2020,05/15/2021,09/06/2022,USD,113455.0,OPT,Career Fair,2025-10-25
50,b006b375-0a93-44fb-ace7-623273f37ec9,9b3fe02f-f0ea-4e37-bf3e-0ea439a244fc,EMP000050,Data Analyst,Consulting,Senior,Full-time,Remote,Hyderabad,NA,India,06/02/2024,06/12/2024,10/23/2024,03/17/2026,USD,136777.0,Citizen,Career Fair,2025-10-25
51,41272554-85cf-4a45-b915-e23f32613f9b,1d87b73c-6c22-46d3-b39e-d6944e9ca487,EMP000051,Security Analyst,Security,Mid,Contract,Hybrid,St. Louis,MO,USA,01/14/2025,01/20/2025,09/05/2025,11/15/2026,USD,103847.0,STEM OPT,Referral,2025-10-25
52,57216eaa-1181-4e09-8463-543047232031,eabda4e1-c4e2-47e9-977b-9e15a302b796,EMP000052,Software Engineer,Security,Senior,Contract,Hybrid,Chicago,IL,USA,01/18/2023,01/18/2023,09/03/2023,03/25/2025,USD,120306.0,PR,Direct Apply,2025-10-25
53,c9c0bf34-1ce3-43f2-8a91-5610cfb2fb9b,a8ddfda4-7ff4-4e89-9c58-fee206ad4c06,EMP000053,Business Analyst,Analytics,Junior,Contract,On-site,Chicago,IL,USA,05/05/2021,05/16/2021,08/03/2021,06/14/2023,USD,126897.0,PR,Handshake,2025-10-25
54,d1b41161-22f1-4bba-b783-526b052c5e54,16c6f67c-7f60-4c72-9fa9-43f9c7495234,EMP000054,Security Analyst,Security,Senior,Contract,Remote,New York,NY,USA,03/28/2023,04/03/2023,08/08/2023,12/08/2024,USD,87775.0,OPT,Career Fair,2025-10-25
55,6fa5d71c-1df6-478b-b4b6-34da0f6c9c72,663fa113-8b20-42fb-8859-1782e6b418ee,EMP000055,QA Engineer,Engineering,Intern,Contract,Hybrid,Austin,TX,USA,11/01/2023,11/04/2023,06/09/2024,03/12/2026,USD,114701.0,STEM OPT,LinkedIn,2025-10-25
56,e25c4351-e97e-4136-8093-0b5c8cfae827,29bf32b6-42f0-4972-bca7-fe2bbd38d03b,EMP000056,Software Engineer,Product,Senior,Contract,Remote,Seattle,WA,USA,06/15/2023,06/21/2023,09/10/2023,04/02/2025,USD,112427.0,H1B,Handshake,2025-10-25
57,92d02a8d-9878-4e1b-bd04-7faf3682268e,510d0d27-effc-4e36-b1f6-855244fd5cc4,EMP000057,QA Engineer,Security,Senior,Full-time,Remote,Hyderabad,NA,India,05/29/2022,05/30/2022,08/07/2022,11/13/2023,USD,116460.0,OPT,Handshake,2025-10-25
58,62929d84-a808-4acd-bfc3-c9efd30d8702,c4709859-247c-4dca-bc29-f00f0e8a8d67,EMP000058,Associate Consultant,Security,Junior,Full-time,On-site,Austin,TX,USA,11/20/2024,11/27/2024,06/10/2025,12/31/2026,USD,108260.0,PR,Career Fair,2025-10-25
59,35c8086d-665e-444c-995d-710c9d2bcd5c,a5c835f8-f869-4e3e-aea8-01e0b1ccdace,EMP000059,Software Engineer,Consulting,Intern,Full-time,Remote,Austin,TX,USA,09/24/2024,09/25/2024,05/12/2025,10/29/2026,USD,130380.0,Citizen,Referral,2025-10-25
60,3e8c6ae1-8abe-4eed-b372-c893b5795628,550d7d53-7a6f-4d1d-a8c4-76c4d77bd504,EMP000060,Cloud Engineer,Product,Junior,Contract,Hybrid,New York,NY,USA,02/02/2021,02/02/2021,04/18/2021,02/01/2023,USD,107812.0,OPT,Direct Apply,2025-10-25
61,7b5a3540-70d7-4931-bb19-e50036a7a1b1,cb38eabc-76f7-447c-8cbd-8dc8b9d6c62c,EMP000061,Software Engineer,Analytics,Junior,Contract,Remote,Hyderabad,NA,India,07/20/2022,08/01/2022,11/30/2022,11/28/2024,USD,104522.0,STEM OPT,Direct Apply,2025-10-25
62,4763b77b-e0e0-4c12-98bb-1bd34f7719f4,f90e9b4b-9f73-4f93-8fab-1f9c38d2f224,EMP000062,Product Analyst,Analytics,Senior,Contract,On-site,Dallas,TX,USA,06/09/2025,06/13/2025,08/04/2025,12/31/2026,USD,97087.0,Other,LinkedIn,2025-10-25
63,a3bd79a6-b846-447b-8d49-139f4dab738c,68d74654-1732-4e77-ab51-07195f6da446,EMP000063,Associate Consultant,Security,Junior,Contract,Remote,New York,NY,USA,02/24/2023,02/27/2023,07/27/2023,06/13/2025,USD,101402.0,OPT,LinkedIn,2025-10-25
64,4493e45f-e806-4156-935e-bbadda2f77d7,d600f765-ec69-4022-9a48-d0e06e949d0c,EMP000064,Business Analyst,Security,Junior,Contract,On-site,St. Louis,MO,USA,12/31/2024,01/02/2025,08/31/2025,12/18/2026,USD,112799.0,STEM OPT,Career Fair,2025-10-25
65,b5336b57-a492-409e-9db4-29f67542227b,9fdb2cd1-c96a-4bcc-bbdb-e9d8148d734d,EMP000065,Product Analyst,Engineering,Senior,Internship,Hybrid,New York,NY,USA,07/31/2022,08/05/2022,11/26/2022,04/24/2024,USD,107047.0,OPT,Handshake,2025-10-25
66,e7a42ec3-4650-4714-a4c2-35263a606708,0b03f353-8181-418d-b380-6e10c25782cf,EMP000066,Business Analyst,Consulting,Mid,Contract,On-site,Boston,MA,USA,06/08/2024,06/22/2024,08/07/2024,02/27/2026,USD,94809.0,OPT,Career Fair,2025-10-25
67,76bd150e-8e1c-454a-b67f-d70a8aa76c1c,f913de1b-b267-4a01-85d4-136d7c849d48,EMP000067,Security Analyst,Security,Junior,Full-time,Remote,Austin,TX,USA,05/27/2023,06/08/2023,11/29/2023,11/15/2025,USD,108699.0,Other,Career Fair,2025-10-25
68,03fb65b3-0ed0-4135-a3ae-3d856b4455be,a6ef4500-4be1-455b-a962-f932fa4430de,EMP000068,Associate Consultant,Consulting,Mid,Contract,Remote,Dallas,TX,USA,10/19/2023,10/20/2023,05/14/2024,11/26/2025,USD,116708.0,OPT,Direct Apply,2025-10-25
69,cf3c2da9-16e8-4a61-b5a7-3e94d9b1588e,dde0a2c0-5a98-40ec-9301-270c0c298cb2,EMP000069,Cloud Engineer,Security,Junior,Full-time,Remote,Boston,MA,USA,06/13/2026,06/14/2026,11/30/2026,12/31/2026,USD,117402.0,H1B,Referral,2025-10-25
70,4bd5f197-fd75-4f79-851e-5874e1c206bb,b5e78b30-045f-40af-b294-9ba21b231464,EMP000070,QA Engineer,Engineering,Senior,Full-time,Remote,Boston,MA,USA,04/21/2026,04/29/2026,11/02/2026,12/31/2026,USD,104485.0,Other,Career Fair,2025-10-25
71,a410339a-6aa4-4916-8521-c806f335f1f6,7ae36a35-5ba8-454c-b7e5-61ecdd6bc31d,EMP000071,Associate Consultant,Consulting,Mid,Internship,On-site,Seattle,WA,USA,06/04/2022,06/17/2022,12/08/2022,02/04/2024,USD,111201.0,OPT,Career Fair,2025-10-25
72,614939bc-5969-4f80-a260-21824e83f21b,840e5121-f5e7-4b39-8c74-4eb6e39d1177,EMP000072,Software Engineer,Security,Senior,Contract,Hybrid,Hyderabad,NA,India,05/24/2024,06/02/2024,11/19/2024,11/26/2025,USD,92034.0,OPT,Handshake,2025-10-25
73,f53ad4ac-a52e-402b-8eba-005693b03433,c7350b9c-2cd1-456a-977c-f9cda916bbe2,EMP000073,Data Analyst,Security,Intern,Contract,On-site,St. Louis,MO,USA,04/10/2022,04/19/2022,10/27/2022,08/06/2024,USD,128890.0,Other,Handshake,2025-10-25
74,3f0edc34-2b5d-483b-8e2d-a50da6003fab,e39fe27c-5727-4cf5-99ae-4fda5978aed6,EMP000074,Product Analyst,Quality,Junior,Contract,Remote,Chicago,IL,USA,06/05/2023,06/06/2023,09/13/2023,01/09/2025,USD,109419.0,PR,Direct Apply,2025-10-25
75,c34f15f3-ae99-4ed7-8fe2-a3ca8df883b6,6da5ae7b-363a-4320-8758-3b4b50dda798,EMP000075,Cloud Engineer,Engineering,Mid,Internship,Remote,Seattle,WA,USA,05/23/2026,06/04/2026,11/06/2026,12/31/2026,USD,100827.0,STEM OPT,Direct Apply,2025-10-25
76,66a5f7b2-ecbc-4ced-b783-0e47d8cb44cf,55beeb42-0b77-4610-b9b4-0ee98fc0bffa,EMP000076,Cloud Engineer,Quality,Intern,Full-time,On-site,St. Louis,MO,USA,11/13/2023,11/19/2023,06/04/2024,05/22/2026,USD,86759.0,OPT,Referral,2025-10-25
77,7ca93765-38f8-4803-8e4d-cb33e59bdd09,2c2472a4-3a0c-48bb-91df-499857ce46c6,EMP000077,Security Analyst,Quality,Intern,Contract,Remote,Dallas,TX,USA,12/10/2020,12/15/2020,04/20/2021,11/14/2022,USD,101137.0,Other,LinkedIn,2025-10-25
78,86200d18-9f6a-4c61-ab52-e0fe8eb285bb,96364207-cb1a-4768-9def-c772867e586e,EMP000078,Associate Consultant,Quality,Junior,Internship,Hybrid,New York,NY,USA,04/21/2024,04/25/2024,08/21/2024,12/30/2025,USD,96163.0,OPT,Referral,2025-10-25
79,b2d46944-e4b5-483e-9d93-fd7fd03c8f8d,9938c3d0-3421-45e5-bf0c-fa295464a204,EMP000079,Data Engineer,Security,Mid,Internship,Remote,Seattle,WA,USA,06/07/2023,06/19/2023,12/04/2023,01/31/2025,USD,123036.0,STEM OPT,LinkedIn,2025-10-25
80,1c8dc2ae-4639-4617-912a-bfe626f7738a,84e21646-7274-4f21-9b02-14d2e0ef6491,EMP000080,Data Engineer,Security,Senior,Internship,Hybrid,Bengaluru,NA,India,07/28/2024,08/01/2024,10/27/2024,03/12/2026,USD,124762.0,STEM OPT,Career Fair,2025-10-25
81,367fd478-4e8a-41f5-bb16-6d2e0f49c30d,ced00964-755c-4f70-b143-6e30ca01d803,EMP000081,Data Analyst,Security,Mid,Full-time,Hybrid,Boston,MA,USA,03/24/2025,03/27/2025,12/14/2025,12/31/2026,USD,112633.0,STEM OPT,Career Fair,2025-10-25
82,ee27660e-a098-4a9e-b26b-e44b8d06facc,5982af4d-0209-4a7d-b6ab-51d4615eeff4,EMP000082,Product Analyst,Security,Junior,Contract,On-site,Boston,MA,USA,03/11/2025,03/13/2025,05/25/2025,12/31/2026,USD,124398.0,Citizen,Referral,2025-10-25
83,d4fc850c-d3d9-49a0-bf13-7866d180cd85,622d141e-9b67-47b5-94cd-d413cef9163c,EMP000083,QA Engineer,Quality,Junior,Full-time,On-site,St. Louis,MO,USA,11/27/2024,11/28/2024,04/30/2025,12/31/2026,USD,132540.0,PR,Referral,2025-10-25
84,3c7b2e2a-10a5-4d39-9efb-de2e4429236c,085c5798-fd36-456e-b7c4-a8020cbd17d4,EMP000084,QA Engineer,Engineering,Mid,Full-time,Hybrid,Bengaluru,NA,India,07/27/2023,07/28/2023,12/10/2023,07/03/2025,USD,126973.0,H1B,Direct Apply,2025-10-25
85,3e2ff562-720b-44f6-8c77-8c5b189c3f5e,a5a342a3-ea66-455a-9a7f-7d96c79750ec,EMP000085,Cloud Engineer,Analytics,Junior,Internship,On-site,Hyderabad,NA,India,02/19/2022,02/23/2022,04/28/2022,05/23/2023,USD,124189.0,Other,Direct Apply,2025-10-25
86,6a6af4c2-b337-43c6-8fd3-165a03504aa6,f3096aed-819c-4c42-9d4a-faa498486c82,EMP000086,QA Engineer,Analytics,Junior,Internship,On-site,New York,NY,USA,05/07/2022,05/16/2022,09/08/2022,11/13/2023,USD,89742.0,OPT,Referral,2025-10-25
87,d008a657-0d7b-47c2-9a88-3229898ba09c,f7b4c23c-9965-48cd-92bd-910b6dd8c1fb,EMP000087,ML Engineer,Consulting,Junior,Full-time,On-site,Hyderabad,NA,India,03/11/2024,03/23/2024,05/22/2024,03/08/2026,USD,107759.0,PR,LinkedIn,2025-10-25
88,33f1a259-e632-44c1-ab6d-65131447559f,4438ea01-2e09-43c8-a490-facdbb917c55,EMP000088,Security Analyst,Consulting,Senior,Full-time,Remote,Dallas,TX,USA,04/26/2025,05/05/2025,12/09/2025,12/31/2026,USD,110703.0,OPT,Career Fair,2025-10-25
89,3e4ad250-0a7f-438a-ab15-1d84cb0ea34c,1bdf85a1-cf9e-40dd-851b-7981c7c5a4a7,EMP000089,Business Analyst,Product,Junior,Internship,Remote,Chicago,IL,USA,05/09/2024,05/20/2024,08/20/2024,11/10/2025,USD,103053.0,STEM OPT,Handshake,2025-10-25
90,072b5387-650e-470f-8193-afc3316fd8ac,8db4c013-ec5f-4d77-8498-1bb423f90ade,EMP000090,Data Engineer,Consulting,Intern,Internship,Remote,Chicago,IL,USA,06/07/2022,06/10/2022,08/18/2022,08/18/2023,USD,109763.0,H1B,Handshake,2025-10-25
91,e4bb8d62-65a4-48cb-92b4-c2326731acf4,11a24b5e-6c30-46d7-83f3-1254da5a4f24,EMP000091,Software Engineer,Consulting,Mid,Internship,Hybrid,Austin,TX,USA,01/20/2021,01/22/2021,04/24/2021,07/31/2022,USD,99433.0,OPT,Direct Apply,2025-10-25
