serial_no,employer_id,employer_name,industry,sub_industry,company_size_band,hq_city,hq_state,hq_country,website_url,linkedin_url,is_faang_company,is_non_profit,slu_partnership_type,slu_partnership_level,slu_partnership_status,slu_partnership_start_date,primary_contact_name,primary_contact_title,primary_contact_email,primary_contact_phone
15,dca21549-d1d5-4df6-8105-d1ef2e5bf640,Employer 0015,Technology,Cloud/Software,Enterprise,San Jose,CA,USA,https://www.example15.com,https://www.linkedin.com/company/example-15,0,0,Sponsorship,Gold,Inactive,09/27/2022,Alex15 Reed15,Talent Partner,contact15@example.com,+16318046752
16,f8d3ba5f-c314-4018-855d-94b228e6f6c3,Employer 0016,Retail,E-commerce,Small,Toronto,ON,Canada,https://www.example16.com,https://www.linkedin.com/company/example-16,0,0,None,Bronze,Prospect,10/01/2026,Alex16 Reed16,Recruiter,contact16@example.com,+13936556806
17,637d6886-74bc-4503-80c9-544b071e8004,Employer 0017,Consulting,IT Services,Small,St. Louis,MO,USA,https://www.example17.com,https://www.linkedin.com/company/example-17,0,0,Mentorship,Silver,Active,02/22/2026,Alex17 Reed17,Recruiter,contact17@example.com,+19549138582
18,95fc8769-1707-41c5-9a13-d9aec42e2115,Employer 0018,Healthcare,Provider,Enterprise,St. Louis,MO,USA,https://www.example18.com,https://www.linkedin.com/company/example-18,0,0,Hiring,Gold,Inactive,02/23/2023,Alex18 Reed18,University Relations,contact18@example.com,+14256688369
19,a51bacd8-06cf-4032-bce3-be2812ee1519,Employer 0019,Technology,Cloud/Software,Large,Boston,MA,USA,https://www.example19.com,https://www.linkedin.com/company/example-19,0,0,Sponsorship,Silver,Active,02/03/2022,Alex19 Reed19,Talent Partner,contact19@example.com,+12666456577
20,cc643f0c-3bc3-457b-a75f-5040fa7cb559,Employer 0020,Finance,Banking,Medium,Dallas,TX,USA,https://www.example20.com,https://www.linkedin.com/company/example-20,0,0,Hiring,Gold,Inactive,08/27/2021,Alex20 Reed20,Recruiter,contact20@example.com,+12252431840
21,7b0919e6-26f7-4776-ad07-ae1ecb62f03c,Employer 0021,Finance,Banking,Enterprise,Boston,MA,USA,https://www.example21.com,https://www.linkedin.com/company/example-21,0,0,Sponsorship,Silver,Inactive,02/05/2023,Alex21 Reed21,University Relations,contact21@example.com,+16689698530
22,f27bf578-59aa-47a1-b49f-d6a42a79bcb9,Employer 0022,Consulting,IT Services,Large,Seattle,WA,USA,https://www.example22.com,https://www.linkedin.com/company/example-22,0,0,Academic,Bronze,Inactive,02/09/2020,Alex22 Reed22,Talent Partner,contact22@example.com,+18184967488
23,60ed33c8-0cc5-4052-a93b-98d420142ecd,Employer 0023,Government,Public Sector,Large,Austin,TX,USA,https://www.example23.com,https://www.linkedin.com/company/example-23,0,0,Donor,Bronze,Active,05/17/2026,Alex23 Reed23,HR Manager,contact23@example.com,+19807393937
24,80cd21db-32bf-48d4-8e0d-0571ef057bdc,Employer 0024,Logistics,Supply Chain,Large,San Jose,CA,USA,https://www.example24.com,https://www.linkedin.com/company/example-24,0,0,Sponsorship,Bronze,Prospect,08/30/2023,Alex24 Reed24,University Relations,contact24@example.com,+18772871749
25,92fe8957-ee65-4c55-8f3d-2494fbaf3e06,Employer 0025,Manufacturing,Industrial,Small,New York,NY,USA,https://www.example25.com,https://www.linkedin.com/company/example-25,0,0,None,Gold,Active,07/29/2023,Alex25 Reed25,Talent Partner,contact25@example.com,+14319875871
26,0564ed97-efd3-41b0-9c7f-b46c11dbca9e,Employer 0026,Consulting,IT Services,Large,San Jose,CA,USA,https://www.example26.com,https://www.linkedin.com/company/example-26,0,0,Sponsorship,Bronze,Inactive,01/01/2021,Alex26 Reed26,Recruiter,contact26@example.com,+19706435121
27,a70e0e91-f696-4132-b539-2f4d8a59adcf,Employer 0027,Government,Public Sector,Small,Boston,MA,USA,https://www.example27.com,https://www.linkedin.com/company/example-27,0,1,None,Silver,Inactive,10/14/2024,Alex27 Reed27,Talent Partner,contact27@example.com,+18276164343
28,1764c7eb-ca66-440b-89af-d8e12710e45a,Employer 0028,Healthcare,Provider,Enterprise,Austin,TX,USA,https://www.example28.com,https://www.linkedin.com/company/example-28,0,1,Academic,Bronze,Inactive,09/29/2020,Alex28 Reed28,Recruiter,contact28@example.com,+12527978188
29,10a5ee87-f3f8-4e81-8301-1a61cf3798fa,Employer 0029,Manufacturing,Industrial,Medium,New York,NY,USA,https://www.example29.com,https://www.linkedin.com/company/example-29,0,0,Mentorship,Silver,Inactive,12/26/2022,Alex29 Reed29,Recruiter,contact29@example.com,+14575682537
30,88d69e27-eaad-4ded-a501-eb66cd7b2734,Employer 0030,Consulting,IT Services,Large,Dallas,TX,USA,https://www.example30.com,https://www.linkedin.com/company/example-30,0,0,Academic,Bronze,Inactive,11/08/2025,Alex30 Reed30,HR Manager,contact30@example.com,+12858539061
31,ffb8d121-1a0c-4a9a-b9b3-563bdb9b40c0,Employer 0031,Manufacturing,Industrial,Small,Boston,MA,USA,https://www.example31.com,https://www.linkedin.com/company/example-31,0,0,Hiring,Silver,Inactive,03/21/2020,Alex31 Reed31,Recruiter,contact31@example.com,+13502754943
32,a9b0274a-0d37-4a77-8b7c-f9b72c62719b,Employer 0032,Technology,Cloud/Software,Large,London,NA,UK,https://www.example32.com,https://www.linkedin.com/company/example-32,0,0,Donor,Bronze,Active,04/15/2022,Alex32 Reed32,HR Manager,contact32@example.com,+19508647200
33,1133272a-6463-419e-aa16-477db9c2bdec,Employer 0033,Education,University,Medium,Dallas,TX,USA,https://www.example33.com,https://www.linkedin.com/company/example-33,0,0,Donor,Gold,Prospect,03/17/2022,Alex33 Reed33,Recruiter,contact33@example.com,+13245997882
34,ba670ff0-baad-49e1-a585-c44b5ab5c142,Employer 0034,Consulting,IT Services,Large,Boston,MA,USA,https://www.example34.com,https://www.linkedin.com/company/example-34,0,0,Mentorship,Silver,Prospect,12/13/2022,Alex34 Reed34,Recruiter,contact34@example.com,+19275039884
35,19ddd9a4-f231-41ad-ac16-36cbb5e01b26,Employer 0035,Education,University,Medium,San Jose,CA,USA,https://www.example35.com,https://www.linkedin.com/company/example-35,0,1,Sponsorship,Gold,Prospect,05/29/2023,Alex35 Reed35,HR Manager,contact35@example.com,+15175573880
36,48c8b24b-26a4-4611-a174-d75d161eb3e6,Employer 0036,Energy,Utilities,Medium,Chicago,IL,USA,https://www.example36.com,https://www.linkedin.com/company/example-36,0,0,Hiring,Gold,Prospect,08/17/2024,Alex36 Reed36,Talent Partner,contact36@example.com,+14399915289
37,f675bf18-7764-4629-b510-a2de68dbef13,Employer 0037,Healthcare,Provider,Large,Austin,TX,USA,https://www.example37.com,https://www.linkedin.com/company/example-37,0,1,None,Silver,Active,05/23/2021,Alex37 Reed37,University Relations,contact37@example.com,+13966579698
38,9930bd91-053e-42a6-a176-4edd0a78a425,Employer 0038,Government,Public Sector,Large,Chicago,IL,USA,https://www.example38.com,https://www.linkedin.com/company/example-38,0,0,Mentorship,Silver,Active,09/04/2025,Alex38 Reed38,University Relations,contact38@example.com,+17197327247
39,48e1d601-adf3-472e-af6e-bd4521e4a932,Employer 0039,Technology,Cloud/Software,Medium,Bengaluru,NA,India,https://www.example39.com,https://www.linkedin.com/company/example-39,0,0,Sponsorship,Silver,Prospect,03/18/2025,Alex39 Reed39,Recruiter,contact39@example.com,+13203621739
40,5e1ef50c-306b-44d7-9f59-56f7a4828ffb,Employer 0040,Education,University,Small,Dallas,TX,USA,https://www.example40.com,https://www.linkedin.com/company/example-40,0,1,Donor,Bronze,Inactive,10/28/2023,Alex40 Reed40,University Relations,contact40@example.com,+13754948261
41,2291b039-f55a-4788-a93e-cf7074cddc05,Employer 0041,Healthcare,Provider,Large,Seattle,WA,USA,https://www.example41.com,https://www.linkedin.com/company/example-41,0,0,Mentorship,Bronze,Active,08/02/2026,Alex41 Reed41,Recruiter,contact41@example.com,+15254919078
42,f61bd953-04b0-4427-8aff-4626bf1b04af,Employer 0042,Technology,Cloud/Software,Large,St. Louis,MO,USA,https://www.example42.com,https://www.linkedin.com/company/example-42,0,0,Hiring,Bronze,Inactive,02/02/2025,Alex42 Reed42,HR Manager,contact42@example.com,+17268272003
43,f3c9ff6b-872c-4cf4-b3e8-7a25a93c75cf,Employer 0043,Energy,Utilities,Small,Chicago,IL,USA,https://www.example43.com,https://www.linkedin.com/company/example-43,0,0,Donor,Bronze,Prospect,10/22/2021,Alex43 Reed43,Talent Partner,contact43@example.com,+14717648113
44,5844d131-ad2f-4c1b-a50d-7948f66f89dc,Employer 0044,Government,Public Sector,Large,San Jose,CA,USA,https://www.example44.com,https://www.linkedin.com/company/example-44,0,1,Academic,Silver,Inactive,12/23/2025,Alex44 Reed44,HR Manager,contact44@example.com,+12345919849
45,6d386f81-c29d-4bb0-b5e7-863b97968fe8,Employer 0045,Education,University,Small,Austin,TX,USA,https://www.example45.com,https://www.linkedin.com/company/example-45,0,0,Academic,Bronze,Inactive,07/31/2020,Alex45 Reed45,HR Manager,contact45@example.com,+14665141280
46,be1975c2-f897-426e-8ce5-2362fd43d935,Employer 0046,Logistics,Supply Chain,Medium,Dallas,TX,USA,https://www.example46.com,https://www.linkedin.com/company/example-46,0,0,Academic,Silver,Prospect,02/27/2023,Alex46 Reed46,University Relations,contact46@example.com,+19224215127
47,4490531f-4fdf-427a-9564-8de33faedf3f,Employer 0047,Retail,E-commerce,Small,San Jose,CA,USA,https://www.example47.com,https://www.linkedin.com/company/example-47,0,0,None,Bronze,Active,01/31/2024,Alex47 Reed47,University Relations,contact47@example.com,+16442027652
48,103c8bf8-ecdb-426e-8327-640f64aa7a18,Employer 0048,Technology,Cloud/Software,Enterprise,San Jose,CA,USA,https://www.example48.com,https://www.linkedin.com/company/example-48,0,0,None,Gold,Prospect,06/19/2025,Alex48 Reed48,HR Manager,contact48@example.com,+14765347175
49,9703d395-2a6f-4f01-b16e-01bcdcd7e77c,Employer 0049,Manufacturing,Industrial,Enterprise,Seattle,WA,USA,https://www.example49.com,https://www.linkedin.com/company/example-49,0,0,Hiring,Gold,Inactive,09/28/2024,Alex49 Reed49,University Relations,contact49@example.com,+15454369665
50,1ba710e0-4d00-4f6f-8337-9ac3c5e78951,Employer 0050,Manufacturing,Industrial,Medium,San Jose,CA,USA,https://www.example50.com,https://www.linkedin.com/company/example-50,0,0,None,Gold,Inactive,05/18/2023,Alex50 Reed50,Talent Partner,contact50@example.com,+17539234580
51,7cbbf64b-c806-4868-a35e-63586c2b44a0,Employer 0051,Manufacturing,Industrial,Small,Seattle,WA,USA,https://www.example51.com,https://www.linkedin.com/company/example-51,0,0,Hiring,Gold,Inactive,07/22/2020,Alex51 Reed51,Recruiter,contact51@example.com,+12376019788
52,c370ad82-217f-4b62-ac6c-d88f2b255444,Employer 0052,Technology,Cloud/Software,Enterprise,New York,NY,USA,https://www.example52.com,https://www.linkedin.com/company/example-52,0,0,Academic,Bronze,Active,06/23/2022,Alex52 Reed52,HR Manager,contact52@example.com,+18713456497
53,89d7b078-f522-4a2a-9762-3bae98d33288,Employer 0053,Logistics,Supply Chain,Medium,Boston,MA,USA,https://www.example53.com,https://www.linkedin.com/company/example-53,0,0,Academic,Silver,Active,07/30/2026,Alex53 Reed53,Recruiter,contact53@example.com,+13584427511
54,6ee8d562-b04c-47ab-8b21-daa5ca5d38ba,Employer 0054,Energy,Utilities,Medium,Austin,TX,USA,https://www.example54.com,https://www.linkedin.com/company/example-54,0,0,Academic,Bronze,Inactive,08/07/2026,Alex54 Reed54,University Relations,contact54@example.com,+17106842477
55,f91a2d27-e8cb-4886-b56c-f5c5a181aeb6,Employer 0055,Technology,Cloud/Software,Medium,Seattle,WA,USA,https://www.example55.com,https://www.linkedin.com/company/example-55,0,0,Hiring,Gold,Prospect,07/10/2026,Alex55 Reed55,University Relations,contact55@example.com,+16209574438
56,be6a8314-e246-4798-b36e-d75fe0dfc102,Employer 0056,Retail,E-commerce,Small,Dallas,TX,USA,https://www.example56.com,https://www.linkedin.com/company/example-56,0,0,Academic,Gold,Active,07/18/2025,Alex56 Reed56,Recruiter,contact56@example.com,+15222324992
57,37f60917-e12b-4e2f-bf8e-9faf1a1fb225,Employer 0057,Logistics,Supply Chain,Large,New York,NY,USA,https://www.example57.com,https://www.linkedin.com/company/example-57,0,0,Academic,Silver,Prospect,08/08/2022,Alex57 Reed57,Talent Partner,contact57@example.com,+12422746511
58,45271ef4-5425-43f4-a8fe-a866fd405340,Employer 0058,Retail,E-commerce,Medium,New York,NY,USA,https://www.example58.com,https://www.linkedin.com/company/example-58,0,0,Hiring,Gold,Active,05/28/2020,Alex58 Reed58,University Relations,contact58@example.com,+12239777435
59,8660127b-4919-4842-9529-df0fcfdccb65,Employer 0059,Technology,Cloud/Software,Enterprise,St. Louis,MO,USA,https://www.example59.com,https://www.linkedin.com/company/example-59,0,0,Sponsorship,Silver,Prospect,05/06/2022,Alex59 Reed59,Recruiter,contact59@example.com,+14896775796
60,55e9ce83-8214-4d5b-96dc-0f2e2b217040,Employer 0060,Retail,E-commerce,Medium,San Jose,CA,USA,https://www.example60.com,https://www.linkedin.com/company/example-60,0,0,Mentorship,Silver,Inactive,03/10/2026,Alex60 Reed60,University Relations,contact60@example.com,+14088105939
61,ddf4fb55-b961-43f6-aebe-1ac5c0144ee7,Employer 0061,Education,University,Small,Bengaluru,NA,India,https://www.example61.com,https://www.linkedin.com/company/example-61,0,0,Academic,Bronze,Active,01/10/2020,Alex61 Reed61,HR Manager,contact61@example.com,+12617255748
62,7382a553-4a89-4ca9-8433-21c1c0850579,Employer 0062,Technology,Cloud/Software,Medium,San Jose,CA,USA,https://www.example62.com,https://www.linkedin.com/company/example-62,0,0,Donor,Silver,Active,01/28/2024,Alex62 Reed62,University Relations,contact62@example.com,+16025321263
63,ea465148-674d-467d-9c5a-f1e8277142bf,Employer 0063,Technology,Cloud/Software,Medium,Dublin,NA,Ireland,https://www.example63.com,https://www.linkedin.com/company/example-63,0,0,Mentorship,Bronze,Active,07/19/2024,Alex63 Reed63,HR Manager,contact63@example.com,+16249327029
64,b9936179-b093-4285-acae-0867225c329a,Employer 0064,Education,University,Large,Chicago,IL,USA,https://www.example64.com,https://www.linkedin.com/company/example-64,0,1,Sponsorship,Silver,Inactive,07/22/2020,Alex64 Reed64,Recruiter,contact64@example.com,+14948809472
65,aafd66e4-cc9a-409a-bcc1-aca814694756,Employer 0065,Healthcare,Provider,Small,New York,NY,USA,https://www.example65.com,https://www.linkedin.com/company/example-65,0,0,Sponsorship,Silver,Inactive,04/03/2020,Alex65 Reed65,Recruiter,contact65@example.com,+17949228507
66,cd6c8708-acde-4d7e-bb71-75a3f95a4cc2,Employer 0066,Technology,Cloud/Software,Small,Seattle,WA,USA,https://www.example66.com,https://www.linkedin.com/company/example-66,0,0,None,Bronze,Prospect,11/01/2024,Alex66 Reed66,University Relations,contact66@example.com,+18376876889
67,eee83028-56f0-47a1-b827-df43b43e0207,Employer 0067,Energy,Utilities,Large,Dallas,TX,USA,https://www.example67.com,https://www.linkedin.com/company/example-67,0,0,Sponsorship,Gold,Active,02/27/2025,Alex67 Reed67,HR Manager,contact67@example.com,+12273777413
68,ce7a61c7-85a7-40b3-b77c-b4569030c327,Employer 0068,Retail,E-commerce,Large,St. Louis,MO,USA,https://www.example68.com,https://www.linkedin.com/company/example-68,0,0,Academic,Gold,Inactive,10/09/2021,Alex68 Reed68,Talent Partner,contact68@example.com,+12212958677
69,a98da10b-5829-4270-a9e8-c11868637780,Employer 0069,Finance,Banking,Small,San Jose,CA,USA,https://www.example69.com,https://www.linkedin.com/company/example-69,0,0,Hiring,Gold,Active,09/22/2023,Alex69 Reed69,Recruiter,contact69@example.com,+19339978401
70,66e2dd91-4f5d-4bf4-a136-04e418ba0d71,Employer 0070,Healthcare,Provider,Enterprise,Boston,MA,USA,https://www.example70.com,https://www.linkedin.com/company/example-70,0,0,Academic,Gold,Inactive,08/03/2026,Alex70 Reed70,Talent Partner,contact70@example.com,+14999409837
71,671af5d3-7105-4f7e-ad29-d3392cdcb08e,Employer 0071,Retail,E-commerce,Small,New York,NY,USA,https://www.example71.com,https://www.linkedin.com/company/example-71,0,0,Hiring,Gold,Inactive,11/19/2025,Alex71 Reed71,Talent Partner,contact71@example.com,+16658248761
72,eada12ad-8714-4c5d-ac81-a5a146fd1f82,Employer 0072,Technology,Cloud/Software,Enterprise,Boston,MA,USA,https://www.example72.com,https://www.linkedin.com/company/example-72,0,0,Hiring,Gold,Prospect,08/03/2022,Alex72 Reed72,Talent Partner,contact72@example.com,+13838099438
73,7eb82566-6f38-4f3d-a4a9-6b251d84af67,Employer 0073,Consulting,IT Services,Enterprise,Austin,TX,USA,https://www.example73.com,https://www.linkedin.com/company/example-73,0,0,Hiring,Silver,Active,05/07/2023,Alex73 Reed73,Recruiter,contact73@example.com,+17472839487
74,94b75f29-783e-48a1-9a95-c1a53fcc9eec,Employer 0074,Finance,Banking,Medium,Dallas,TX,USA,https://www.example74.com,https://www.linkedin.com/company/example-74,0,0,Hiring,Bronze,Prospect,02/06/2021,Alex74 Reed74,HR Manager,contact74@example.com,+13949917885
75,cf858e54-d72d-4d84-b74a-4c1988e600bb,Employer 0075,Consulting,IT Services,Medium,Austin,TX,USA,https://www.example75.com,https://www.linkedin.com/company/example-75,0,0,Hiring,Gold,Active,11/18/2022,Alex75 Reed75,University Relations,contact75@example.com,+16218368754
76,ad4432d8-0fa6-41fa-8939-f2a0441852fa,Employer 0076,Education,University,Medium,San Jose,CA,USA,https://www.example76.com,https://www.linkedin.com/company/example-76,0,0,Mentorship,Bronze,Active,07/02/2022,Alex76 Reed76,University Relations,contact76@example.com,+14557982209
77,c3d8246e-8384-4777-af7f-5d00b161a54c,Employer 0077,Finance,Banking,Large,San Jose,CA,USA,https://www.example77.com,https://www.linkedin.com/company/example-77,0,0,Mentorship,Bronze,Prospect,10/01/2022,Alex77 Reed77,Recruiter,contact77@example.com,+13457383189
78,77a2061a-4956-40cc-b46d-40158264668f,Employer 0078,Retail,E-commerce,Enterprise,San Jose,CA,USA,https://www.example78.com,https://www.linkedin.com/company/example-78,0,0,None,Silver,Inactive,10/07/2022,Alex78 Reed78,Talent Partner,contact78@example.com,+12816068014
79,c3a48562-b1fa-4704-b3de-04e2974e7059,Employer 0079,Finance,Banking,Medium,New York,NY,USA,https://www.example79.com,https://www.linkedin.com/company/example-79,0,0,Mentorship,Bronze,Inactive,04/08/2022,Alex79 Reed79,HR Manager,contact79@example.com,+18804036443
80,6a665b71-1f54-4c0b-911c-993f06085511,Employer 0080,Manufacturing,Industrial,Small,London,NA,UK,https://www.example80.com,https://www.linkedin.com/company/example-80,0,0,Mentorship,Silver,Inactive,04/25/2021,Alex80 Reed80,HR Manager,contact80@example.com,+17633526275
81,7a4324c4-6936-48ae-bab9-ab37ee874053,Employer 0081,Retail,E-commerce,Large,Austin,TX,USA,https://www.example81.com,https://www.linkedin.com/company/example-81,0,0,Sponsorship,Bronze,Prospect,04/25/2024,Alex81 Reed81,University Relations,contact81@example.com,+17595537320
82,d8eac087-da13-4620-b6b7-10c67fb30a85,Employer 0082,Retail,E-commerce,Small,St. Louis,MO,USA,https://www.example82.com,https://www.linkedin.com/company/example-82,0,0,Donor,Bronze,Prospect,03/10/2024,Alex82 Reed82,Talent Partner,contact82@example.com,+17652742550
83,d20c9410-ae24-47b4-8b20-425443925d2d,Employer 0083,Energy,Utilities,Large,London,NA,UK,https://www.example83.com,https://www.linkedin.com/company/example-83,0,0,Donor,Bronze,Active,01/15/2024,Alex83 Reed83,Talent Partner,contact83@example.com,+18003864147
84,cfb80bb4-07ce-441d-8bf0-ccb3c798dec4,Employer 0084,Retail,E-commerce,Large,Boston,MA,USA,https://www.example84.com,https://www.linkedin.com/company/example-84,0,0,Hiring,Bronze,Prospect,10/20/2024,Alex84 Reed84,University Relations,contact84@example.com,+13517824901
85,10c7fc21-234f-417c-8ae4-5bc775e587be,Employer 0085,Manufacturing,Industrial,Enterprise,Boston,MA,USA,https://www.example85.com,https://www.linkedin.com/company/example-85,0,0,Donor,Silver,Prospect,01/01/2025,Alex85 Reed85,HR Manager,contact85@example.com,+13157585072
86,7fb337b3-62b3-46c8-9f76-949e2d4f2568,Employer 0086,Education,University,Medium,Chicago,IL,USA,https://www.example86.com,https://www.linkedin.com/company/example-86,0,0,Sponsorship,Gold,Active,08/15/2021,Alex86 Reed86,Recruiter,contact86@example.com,+14887914802
87,e7f034a0-5e15-4db6-bd96-674a3cc18a15,Employer 0087,Energy,Utilities,Small,London,NA,UK,https://www.example87.com,https://www.linkedin.com/company/example-87,0,0,Mentorship,Bronze,Inactive,11/26/2023,Alex87 Reed87,University Relations,contact87@example.com,+17242547763
88,4895ac5d-89c1-4990-bd13-d542243ceef3,Employer 0088,Finance,Banking,Enterprise,New York,NY,USA,https://www.example88.com,https://www.linkedin.com/company/example-88,0,0,None,Bronze,Active,11/09/2024,Alex88 Reed88,HR Manager,contact88@example.com,+17107399600
89,4f0676d9-31cc-4fd0-b03a-a69c03b8dea9,Employer 0089,Education,University,Enterprise,Chicago,IL,USA,https://www.example89.com,https://www.linkedin.com/company/example-89,0,0,Mentorship,Gold,Inactive,04/16/2025,Alex89 Reed89,HR Manager,contact89@example.com,+14793223793
90,be7fcf99-0db8-4edc-9eba-117d874921dd,Employer 0090,Retail,E-commerce,Enterprise,Seattle,WA,USA,https://www.example90.com,https://www.linkedin.com/company/example-90,0,0,Academic,Silver,Prospect,04/23/2020,Alex90 Reed90,Recruiter,contact90@example.com,+16903525137
91,024a1831-f227-4891-b854-ea462c47011f,Employer 0091,Government,Public Sector,Enterprise,St. Louis,MO,USA,https://www.example91.com,https://www.linkedin.com/company/example-91,0,1,Mentorship,Bronze,Inactive,09/01/2025,Alex91 Reed91,Talent Partner,contact91@example.com,+16266171182
92,4edaaab2-f0df-4458-8e22-8da21d34d98d,Employer 0092,Finance,Banking,Enterprise,Dublin,NA,Ireland,https://www.example92.com,https://www.linkedin.com/company/example-92,0,0,Mentorship,Silver,Active,03/14/2023,Alex92 Reed92,Talent Partner,contact92@example.com,+13365094665
93,02a44b98-311d-4663-81f7-6ee987665599,Employer 0093,Manufacturing,Industrial,Enterprise,St. Louis,MO,USA,https://www.example93.com,https://www.linkedin.com/company/example-93,0,0,Sponsorship,Gold,Inactive,01/10/2025,Alex93 Reed93,HR Manager,contact93@example.com,+17223386168
94,33b8de2d-5010-4d7d-9ed5-26d847abae8d,Employer 0094,Education,University,Enterprise,Boston,MA,USA,https://www.example94.com,https://www.linkedin.com/company/example-94,0,1,Mentorship,Gold,Prospect,04/19/2025,Alex94 Reed94,Talent Partner,contact94@example.com,+15549153629
95,5a1d9418-b0bc-4aaf-8cfb-03c627ba9b8c,Employer 0095,Technology,Cloud/Software,Enterprise,New York,NY,USA,https://www.example95.com,https://www.linkedin.com/company/example-95,0,0,Mentorship,Silver,Prospect,08/14/2022,Alex95 Reed95,University Relations,contact95@example.com,+17272763755
96,b3cc6257-3936-40df-ab0d-b2506149327e,Employer 0096,Consulting,IT Services,Medium,St. Louis,MO,USA,https://www.example96.com,https://www.linkedin.com/company/example-96,0,0,Donor,Bronze,Active,07/18/2022,Alex96 Reed96,HR Manager,contact96@example.com,+15899058850
97,7b406cd7-ac9b-40a1-8bf5-1f9796762220,Employer 0097,Finance,Banking,Enterprise,San Jose,CA,USA,https://www.example97.com,https://www.linkedin.com/company/example-97,0,0,Academic,Gold,Inactive,10/21/2023,Alex97 Reed97,HR Manager,contact97@example.com,+15932494385
